Topic #,Label,Abbreviation,Justification,Characteristic Terms (Fig 2),Centroid Text
0,Morphological Codes,MoC,"Focus on cell differentiation, developmental patterns, and tissue-specific signaling ('code' used metaphorically).","activity, regulatory, function, expression, transcription factor, binding site, enhancer, express","Morphological Codes. Cell differentiation, developmental patterns, and tissue-specific signaling. Key terms: activity, regulatory, function, expression, transcription factor, binding site, enhancer."
1,Genomic Code,GC,"Emphasis on genome structure, genome-wide regulation, and chromatin-based signaling.","microtubule, sequence, chromosome, tubulin, repeat, complex, structure, membrane, genome","Genomic Code. Genome structure, genome-wide regulation, and chromatin-based signaling. Key terms: sequence, chromosome, genome, microtubule, tubulin, repeat, chromatin, structure."
2,Binding Code,BC,"Key terms relate to molecular interactions, affinity, docking, and structural dynamics.","domain, bind, receptor, interaction, membrane, residue, structure, stereotypic","Binding Code. Molecular interactions, affinity, docking, and structural dynamics. Key terms: domain, bind, receptor, interaction, affinity, docking, membrane, residue, structure."
3,Genetic Code,GeC,"Direct references to the canonical genetic code, codons, translation, and codon reassignment.","sequence, stop codon, genome, change, codon","Genetic Code. Canonical genetic code, codons, translation, and codon reassignment. Key terms: codon, sequence, stop codon, translation, codon reassignment, genome, amino acid."
4,Language Code,LC,"Includes analogies between language and code, linguistic metaphors, and semiotic discussions.","letter, model, read, word, language, emotion","Language Code. Analogies between language and code, linguistic metaphors, and semiotic discussions. Key terms: language, word, letter, read, linguistic, semiotic, meaning, metaphor."
5,Phosphorylation Code,PhC,"Recurring references to kinase signaling, phosphorylation motifs, and PTM logic.","phosphorylation, nuclear, target, CTD, bind, p53, transcription, complex","Phosphorylation Code. Kinase signaling, phosphorylation motifs, and post-translational modification logic. Key terms: phosphorylation, kinase, CTD, p53, target, nuclear, motif, post-translational modification."
6,Pathological Code,PaC,"Focuses on disease processes and how codes relate to dysregulation or biomarkers.","cancer, disease, expression, study, p53, tissue","Pathological Code. Disease processes and how codes relate to dysregulation or biomarkers. Key terms: cancer, disease, dysregulation, biomarker, p53, tissue, expression."
7,Chemical Codes,ChC,"Topics about sugar codes, glycosylation, and stereochemical logic of biomolecules.","site, nucleotide, triplet, bind, order, pair, selection, assignment","Chemical Codes. Sugar codes, glycosylation, and stereochemical logic of biomolecules. Key terms: sugar code, glycosylation, stereochemistry, nucleotide, pair, triplet, assignment, binding site."
8,Regulatory Code,RC,"Centered on transcriptional and epigenetic regulation, including enhancer-promoter logic.","sequence, region, site, bind, motif, enhancer","Regulatory Code. Transcriptional and epigenetic regulation, including enhancer-promoter logic. Key terms: enhancer, promoter, motif, regulatory sequence, transcription, binding site, region."
9,Code Theory,CT,"Theoretical reflections on the concept of 'code' itself, including biosemiotics and formal models.","number, base, table, position, group, triplet, property, mutation, set","Code Theory. Theoretical reflections on the concept of code itself, including biosemiotics and formal models. Key terms: code table, biosemiotics, formal model, base, position, mapping, property, theory."
