source_pdf,candidate,mapped_code,mapped_name,quote,reasoning
Code_Biology_PDFs/From Code to Archetype - Major (2025).pdf,archetype,,Archetype codes,"In this model, an archetype is not a code in the biological sense; rather, it is a product of code-driven assembly processes that mediate between internal states and external expressions.",The author explicitly states that archetypes are not organic codes but artifacts produced by code-driven processes.
Code_Biology_PDFs/From Code to Archetype - Major (2025).pdf,artifacts,,,artifacts are always products of coding processes. They are not codes themselves,"The author states that artifacts are products of coding, not codes themselves, distinguishing them from organic codes."
Code_Biology_PDFs/From Code to Archetype - Major (2025).pdf,archetypes,,,"Archetypes, therefore, are best understood not as codes themselves, but as products of codification that function as mediators in higher-order systems of experience and meaning.","Archetypes are explicitly identified as products of codification, not as organic codes."
Code_Biology_PDFs/From Code to Archetype - Major (2025).pdf,archetypes,,,"It is essential to clarify that archetypes, in this model, are not codes in themselves.","The author states that archetypes are artifacts generated by codified neural processes, not codes themselves."
Code_Biology_PDFs/The_Organic_Codes_an_introduction_to_semantic_biol.pdf,Transcription,,,"Transcription (catalyzed assembly) is only informatic, while translation is coded assembly.","Transcription is described as merely informatic (catalyzed assembly), not coded, thus excluding it from being an organic code."
Code_Biology_PDFs/Barbieri M (2024) Codes and Evolution-The Origin of Absolute Novelties.pdf,interpretation,,,the process of interpretation takes place in the brain but not in the cell.,"Because it is not a cellular process, it cannot be an organic code."
Code_Biology_PDFs/Barbieri M (2024) Codes and Evolution-The Origin of Absolute Novelties.pdf,anticipation,,,the process of anticipation takes place in the brain but not in the cell.,"Because it is not a cellular process, it cannot be an organic code."
Code_Biology_PDFs/Barbieri M (2024) Codes and Evolution-The Origin of Absolute Novelties.pdf,interpretation,,,"Interpretation, furthermore, is a form of semiosis because it gives meaning to something, but it is different from codes because it is based on abductions and not on coding rules.","Interpretation is explicitly contrasted with codes, lacking the fixed, rule-based nature of coding and instead relying on abductive inference."
Code_Biology_PDFs/Barbieri M (2024) Codes and Evolution-The Origin of Absolute Novelties.pdf,interpretation at the cellular level,,,but there is no evidence of interpretation at the molecular level,"The author argues that only coding and decoding occur in single cells, so interpretation is not an organic code at the molecular level."
Code_Biology_PDFs/Barbieri M (2024) Codes and Evolution-The Origin of Absolute Novelties.pdf,splicing code,367,Splicing code,"The prokaryotes, in other words, could not evolve a splicing code because they had abolished the separation between transcrip- tion and translation that is the very precondition of splicing.","The prokaryotes could not evolve a splicing code because they eliminated the separation between transcription and translation, which is a necessary precondition for splicing."
Code_Biology_PDFs/Barbieri M (2024) Codes and Evolution-The Origin of Absolute Novelties.pdf,histone code,,,"The potential to evolve the histone code, in other words, survived only in the descendants of the common ancestor that did not adopt the streamlining strategy of the bacteria.","The histone code potential survived only in descendants that did not adopt streamlining, implying it is excluded in the streamlining bacteria."
Code_Biology_PDFs/Barbieri M (2024) Codes and Evolution-The Origin of Absolute Novelties.pdf,spoken language,,,What is no longer accepted is that ‘spoken language’ is a code,"The long search for a code accounting for the origin of spoken language has failed, so it is not considered a code."
Code_Biology_PDFs/Barbieri M (2024) Codes and Evolution-The Origin of Absolute Novelties.pdf,interpretation,,,interpretation is different from coding,"Interpretation is not based on fixed rules like a code, using abduction instead."
Code_Biology_PDFs/Barbieri M (2024) Codes and Evolution-The Origin of Absolute Novelties.pdf,Language development mechanism,,,"The mechanism that is at work in the development of language, in short, is neither coding nor interpretation.","The author explicitly states that language development does not operate via coding, so it is not an organic code mechanism."
Code_Biology_PDFs/Barbieri M (2024) Codes and Evolution-The Origin of Absolute Novelties.pdf,interpretation,,,"Many animals, for example, have the ability to interpret what goes on in the world and the faculty of interpretation is based on processes of abduction, not on coding rules.",Interpretation is excluded because it relies on abduction rather than coding rules.
Code_Biology_PDFs/Barbieri M (2024) Codes and Evolution-The Origin of Absolute Novelties.pdf,language,200,Language code,"Language, in other words, contains codes but cannot be reduced to codes.","Language is excluded because it cannot be reduced to codes, even though it contains them."
Code_Biology_PDFs/Barbieri M (2024) Codes and Evolution-The Origin of Absolute Novelties.pdf,interpretation,,,"the faculty of interpretation is based on processes of abduction, not on coding rules.","Interpretation is not based on coding rules, so it is not an organic code."
Code_Biology_PDFs/Barbieri M (2024) Codes and Evolution-The Origin of Absolute Novelties.pdf,language,200,Language code,"Language, in other words, contains codes but cannot be reduced to codes.","Language contains codes but is not itself a code, so it is not an organic code."
